CODE,NAME,A_ATT,A_DEF,A_SPD,B_ATT,B_DEF,B_SPD,C_ATT,C_DEF,C_SPD,D_ATT,D_DEF,D_SPD
a001,코끼리,1.5,1.3,0.7,1.3,1.3,0.7,0.7,1,0.7,0.7,0.7,1
a002,개,1.5,0.7,1.3,0.5,1,1,1,0.7,1.5,0.5,0.7,1
a003,곰,1.5,0.7,0.7,1,1.3,0.7,1.5,1,1.3,0.5,1,0.5
a004,늑대,1.5,1,1.3,0.7,1,1,1,0.7,1.5,0.5,0.7,1
a005,말,1,1,1.3,1.3,1,1,1.5,0.5,1.3,0.7,0.7,1.3
a006,거북이,1.3,1.5,0.7,0.5,1.5,0.5,0.5,1.5,0.5,0.5,1.5,0.7
a007,아르마딜로,1,1.5,0.7,1,1.5,0.7,0.7,1.3,0.7,0.7,1.5,0.5
a008,두더지,1,1,1.5,0.7,1,1,1.3,1.3,1,0.5,0.5,0.7
a009,호저,0.7,0.7,1,1.5,1.5,0.7,0.7,1.3,0.7,1.3,1.5,0.5
a010,하이에나,1.5,0.7,1.3,0.7,1,1,1,0.5,1.3,0.5,0.5,1.3
a011,고양이,1.5,0.5,1.5,0.5,1,1.3,1.5,0.5,1.5,0.5,0.5,1.5
a012,토끼,0.7,0.7,1.5,0.5,0.7,1,0.7,0.7,1.5,0.5,0.5,0.7
a013,사슴,1.3,1,1.3,1.3,1,1,1,0.5,1.5,0.5,0.5,0.5
